Sample	Rel.fitness.Comp	Strain	Media
CW1001	0.426577287	CW1001	Wine
CW1002	1.009166315	CW1002	Wine
CW1002	0.83395997	CW1002	Wine
CW1002	1.00546661	CW1002	Wine
CW1002	4.621956184	CW1002	Wine
CW1002	1.758051197	CW1002	Wine
CW1002	1.184055287	CW1002	Wine
CW1002	2.106842412	CW1002	Wine
CW1002	0.899186007	CW1002	Wine
CW1003	0.800161565	CW1003	Wine
CW1003	1.425908549	CW1003	Wine
CW1003	1.497287057	CW1003	Wine
CW1003	1.118842365	CW1003	Wine
CW1003	0.825748357	CW1003	Wine
CW1003	1.021398914	CW1003	Wine
CW1003	0.505391256	CW1003	Wine
CW1003	0.860280488	CW1003	Wine
CW1004	0.766065164	CW1004	Wine
CW1004	0.849913585	CW1004	Wine
CW1004	0.916784071	CW1004	Wine
CW1004	1.571981697	CW1004	Wine
CW1004	1.036780792	CW1004	Wine
CW1004	1.251047259	CW1004	Wine
CW1004	0.591515371	CW1004	Wine
CW1004	0.418523154	CW1004	Wine
CW1005	0.318241504	CW1005	Wine
CW1005	1.136269787	CW1005	Wine
CW1005	1.330022918	CW1005	Wine
CW1005	0.809829452	CW1005	Wine
CW1005	0.742840415	CW1005	Wine
CW1005	0.655972416	CW1005	Wine
CW1005	0.937283445	CW1005	Wine
CW1005	0.682973251	CW1005	Wine
CW1006	0.092580721	CW1006	Wine
CW1006	0.073164873	CW1006	Wine
CW1006	0.089106774	CW1006	Wine
CW1006	0.15041523	CW1006	Wine
CW1006	0.237662731	CW1006	Wine
CW1006	0.449005773	CW1006	Wine
CW1006	0.615098592	CW1006	Wine
CW1006	0.147540681	CW1006	Wine
SSD719	10.54340375	SSD719	YPD
SSD719	2.389095301	SSD719	YPD
SSD719	0.46659196	SSD719	YPD
SSD719	2.967406808	SSD719	YPD
SSD719	1.384665049	SSD719	YPD
SSD719	2.193776195	SSD719	YPD
SSD719	2.940290916	SSD719	YPD
SSD719	0.572206206	SSD719	YPD
CY1001	1.947479083	CY1001	YPD
CY1001	4.840988794	CY1001	YPD
CY1001	3.402679974	CY1001	YPD
CY1001	1.407801691	CY1001	YPD
CY1001	2.22215846	CY1001	YPD
CY1001	1.380438006	CY1001	YPD
CY1001	3.668181818	CY1001	YPD
CY1001	3.98102067	CY1001	YPD
CY1002	1.220774161	CY1002	YPD
CY1002	3.398898397	CY1002	YPD
CY1002	4.704685416	CY1002	YPD
CY1002	1.511680718	CY1002	YPD
CY1002	1.558388703	CY1002	YPD
CY1002	1.492959164	CY1002	YPD
CY1002	3.95423426	CY1002	YPD
CY1002	1.373435198	CY1002	YPD
CY1003	0.332248146	CY1003	YPD
CY1003	0.099704042	CY1003	YPD
CY1003	0.139210117	CY1003	YPD
CY1003	0.389494767	CY1003	YPD
CY1003	0.252424535	CY1003	YPD
CY1003	0.036603587	CY1003	YPD
CY1003	0.042078746	CY1003	YPD
CY1003	0.021320467	CY1003	YPD
CY1004	3.469653736	CY1004	YPD
CY1004	1.598621003	CY1004	YPD
CY1004	2.111033138	CY1004	YPD
CY1004	5.385696461	CY1004	YPD
CY1004	1.168608333	CY1004	YPD
CY1004	5.595356447	CY1004	YPD
CY1004	3.277599387	CY1004	YPD
CY1004	3.356316314	CY1004	YPD
CY1005	3.345255854	CY1005	YPD
CY1005	6.82037595	CY1005	YPD
CY1005	4.156427309	CY1005	YPD
CY1005	4.655859486	CY1005	YPD
CY1005	5.849760836	CY1005	YPD
CY1005	11.11549257	CY1005	YPD
CY1005	17.01125826	CY1005	YPD
CY1005	8.899292648	CY1005	YPD
CY1006	1.240932564	CY1006	YPD
CY1006	0.649164834	CY1006	YPD
CY1006	0.93070297	CY1006	YPD
CY1006	0.691837386	CY1006	YPD
CY1006	0.047434829	CY1006	YPD
CY1006	2.155587344	CY1006	YPD
CY1006	4.161197962	CY1006	YPD
CY1006	6.555600564	CY1006	YPD
